Company Name,Industry,Symbol, Net Income,ROA ,operating cash flow 2020,Long term debt 2019,Long term debt 2020,Current Ratio 2019,Current Ratio 2020,Outstanding Shares in 2019,Outstanding Shares in 2020,Gross margin 2019,Gross margin 2020,Asset Turnover Ratio 2019,Asset Turnover Ratio 2020 ,,,
Power Grid Corporation of India Ltd.,POWER,POWERGRID,10904,4.3,1192,1313295.1,1354344,0.61,0.69,5231589648,5231589648,87.91,89.73,14.17,14.7,,,
Prestige Estates Projects Ltd.,CONSTRUCTION,PRESTIGE,544,1.35,132,47194,69611,0.89,0.9,375000000,400861654,30.27,30.45,18.02,27.29,,,
Procter & Gamble Hygiene & Health Care Ltd.,CONSUMER GOODS,PGHH,433,23.68,358,0,14.7,1.66,2.23,32460736,32460736,22.48,21.57,180.57,164.18,,,
Punjab National Bank,FINANCIAL SERVICES,PNB,363,0.05,459,468279.7,625124.1,,,4604047028,9410629315,,,,,,,
RBL Bank Ltd.,FINANCIAL SERVICES,RBLBANK,500,0.56,2302,118320.65,170069.12,,,427713969,508739954,,,,,,,
REC Ltd.,FINANCIAL SERVICES,RECLTD,4963,1.43,1335,2331617.3,2746780.5,15.17,3.96,1974918000,1974918000,93.42,87.02,8.51,8.61,,,
Reliance Industries Ltd.,OIL & GAS,RELIANCE,39773,3.37,19839,2075060,2051470,0.73,0.63,6339038430,6761844754,16.25,17.09,56.78,51.25,,,
SBI Life Insurance Company Ltd.,FINANCIAL SERVICES,SBILIFE,1422,0.85,2113,0,0,1.78,1.93,1000000000,1000039963,91.31,72.9,1.02,1.17,,,
SRF Ltd.,CHEMICALS,SRF,915,9.36,-73,21613.4,23856.1,0.99,0.88,57480500,57480500,18.66,20.86,71.8,66.28,,,
Sanofi India Ltd.,PHARMA,SANOFI,477,16.36,77,0,0,3.03,2.67,23030622,23030622,24.73,27.66,94.64,99.43,,,
Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,SHREECEM,1570,8.11,-30,23090.4,17310.9,2.01,1.79,34837225,36080748,24.72,33.14,77.15,61.55,,,
Shriram Transport Finance Co. Ltd.,FINANCIAL SERVICES,SRTRANSFIN,2501,2.19,2059,461025.85,587223,2.73,2.58,226882736,226882736,72.97,71.57,14.73,14.48,,,
Siemens Ltd.,INDUSTRIAL MANUFACTURING,SIEMENS,769,4.84,1204,0,1213,2.1,2.17,356120255,356120255,13.72,13.25,89.64,62.71,,,
State Bank of India,FINANCIAL SERVICES,SBIN,12395,0.47,28803,4137476.61,3329006.7,,,8924611534,8924611534,,,,,,,
Steel Authority of India Ltd.,METALS,SAIL,1926,1.67,124,308026.6,345600.3,0.78,0.91,4130641724,4130636279,15.31,18.03,56.78,48.58,,,
Sun Pharmaceutical Industries Ltd.,PHARMA,SUNPHARMA,4186,5.51,-1385,15226.1,20289.2,1.79,2.02,2399334970,2399334970,25.22,23.22,44.92,48.11,,,
Sun TV Network Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,SUNTV,1389,21.28,26,0,706.9,7.37,7,394084620,394084620,74.91,72.06,61.03,54.08,,,
Syngene International Ltd.,HEALTHCARE SERVICES,SYNGENE,412,9.89,27,3617,812,1.56,1.05,400000000,400000000,33.51,34.76,49.29,48.32,,,
TVS Motor Company Ltd.,AUTOMOBILE,TVSMOTOR,655,3.22,902,49091.6,54155.1,1.02,0.97,475087114,475087114,10.84,12.33,120.74,97.36,,,
Tata Chemicals Ltd.,CHEMICALS,TATACHEM,1032,25.3,-634,47829.1,36613.6,2.05,1.11,254756278,254756278,21.18,21.82,38.41,37.4,,,
Tata Communications Ltd.,TELECOM,TATACOMM,-87,-0.38,60,68512.8,81918,0.56,0.52,285000000,285000000,16.97,19.67,82.57,77.01,,,
Tata Consultancy Services Ltd.,IT,TCS,32447,26.74,1422,440,69060,4.17,3.33,3752384706,3752384706,29.91,29.75,127.42,129.81,,,
Tata Consumer Products Ltd.,CONSUMER GOODS,TATACONSUM,535,2.48,151,7872.4,10866.3,3.09,2.87,631129729,921551715,13,14.56,66.29,52.08,,,
Tata Elxsi Ltd.,IT,TATAELXSI,256,18.43,174,0,450.14,5.39,5.53,62276440,62276440,28.71,24.93,139.66,115.9,,,
Tata Motors Ltd.,AUTOMOBILE,TATAMOTORS,-10975,-3.74,-3092,709736.7,884785.6,0.85,0.85,2887348694,3088973894,9.15,8.02,98.28,81.04,,,
Tata Power Co. Ltd.,POWER,TATAPOWER,774,1.13,1772,311392.3,358756.2,0.74,0.86,2704773510,2704773510,23.86,29.19,35.5,32.46,,,
Tata Steel Ltd.,METALS,TATASTEEL,984,0.62,4462,803427.3,941049.7,0.97,0.95,1204126385,1204126999,19.53,13.19,67.5,59.48,,,
Tech Mahindra Ltd.,IT,TECHM,3902,10.79,974,2086,10326,2.09,2.12,964352304,966177667,19.77,18.17,103.87,98.69,,,
The Ramco Cements Ltd.,CEMENT & CEMENT PRODUCTS,RAMCOCEM,604,5.96,20,7011.8,18404,0.67,0.67,235576780,235576780,20.51,21.73,62.92,53.18,,,
Titan Company Ltd.,CONSUMER GOODS,TITAN,1496,11.08,-354,316.7,10732.6,1.76,1.8,887786160,887786160,10.99,12.44,168.82,155.36,,,
Torrent Pharmaceuticals Ltd.,PHARMA,TORNTPHARM,1024,7.31,73,39129.2,33038.5,0.98,0.91,169222720,169222720,26.58,28.86,54.33,56.66,,,
Torrent Power Ltd.,POWER,TORNTPOWER,1178,4.97,-24,85764.5,78293.5,1.46,1,480616784,480616784,25.77,27.37,53.55,57.74,,,
Trent Ltd.,CONSUMER SERVICES,TRENT,136,2.22,-8,2995.6,25250.8,1.53,3.5,332316730,355487461,10.2,19.74,102.79,63.3,,,
UPL Ltd.,FERTILISERS & PESTICIDES,UPL,2175,2.53,3898,263830,279570,1.64,1.75,764045456,764045456,18.56,19.23,34.57,51.01,,,
UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,ULTRACEMCO,5752,7.26,-295,206503.8,184251.3,0.83,0.89,274649850,288626076,18.77,23.32,54.36,53.55,,,
Union Bank of India,FINANCIAL SERVICES,UNIONBANK,-531,-0.56,12085,432755.96,527140.58,,,1763016314,6406844355,,,,,,,
United Spirits Ltd.,CONSUMER GOODS,MCDOWELL-N,623,7.44,-150,7804,1350,1.01,0.98,726638715,726638715,15.66,17.09,102.54,105.35,,,
Varun Beverages Ltd.,CONSUMER GOODS,VBL,423,3.88,-33,19800.69,23553.76,0.75,0.74,182655225,288688720,20.9,19.2,84.99,76.25,,,
Vedanta Ltd.,METALS,VEDL,-4743,-3.62,-2172,347210,369270,0.78,0.91,3717196639,3717196639,29.46,27.46,45.55,45.98,,,
Vodafone Idea Ltd.,TELECOM,IDEA,-74233,-32.55,-388,1044029,1127082,0.34,0.17,28735389240,28735389240,12.87,35.48,16.14,19.81,,,
Voltas Ltd.,CONSUMER GOODS,VOLTAS,589,6.34,-41,0,54.1,1.72,1.49,330884740,330884740,11.2,11.97,94.71,93.89,,,
Whirlpool of India Ltd.,CONSUMER GOODS,WHIRLPOOL,476,11.24,221,0,0,1.8,2.09,126871830,126871830,13.83,13.38,145.42,137.43,,,
Wipro Ltd.,IT,WIPRO,9768,11.96,-1442,28368,17478,2.67,2.4,6035359575,5714438884,24.11,24.64,71.17,75.21,,,
Yes Bank Ltd.,FINANCIAL SERVICES,YESBANK,-22730,-6.37,-18554,1084241.09,1137905.03,,,2317631788,12550472231,,,,,,,
Zee Entertainment Enterprises Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,ZEEL,527,4.25,-414,7429,3490,3.32,4.03,960481765,960504475,35.53,20.4,61.34,65.7,,,
AU Small Finance Bank Ltd.,FINANCIAL SERVICES,AUBANK,675,1.6,1629,86133.59,103353.24,,,292398437,306407631,,,,,,,
A,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
B,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
C,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
D,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
E,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
F,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
G,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
H,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
I,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
J,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
K,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
L,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
M,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
N,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
O,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
P,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
Q,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
R,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
S,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
T,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
U,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
V,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
W,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
X,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
Y,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
Z,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
AA,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
BB,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
CC,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
DD,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
EE,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
FF,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
GG,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
HH,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
II,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
JJ,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
KK,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
LL,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
MM,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
NN,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
OO,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
PP,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
QQ,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
RR,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
SS,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
TT,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
UU,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
VV,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
WW,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
XX,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
YY,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
ZZ,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
AB,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
BA,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
CA,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
DA,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
EA,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
FA,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
GA,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
HA,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
IA,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
JA,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
KA,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
LA,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
MA,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
NM,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
OA,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
PA,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
QA,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
RA,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
SA,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
TA,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
UA,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
VA,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
WA,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
XA,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
YA,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
ZA,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
AC,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
BC,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
CB,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
DC,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
EC,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
FC,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
GC,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
HC,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
IC,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
JC,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
KC,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
LC,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
MC,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
NC,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
OC,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
PC,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
QC,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
RC,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
SC,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
TC,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
UC,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
VC,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
WC,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
XC,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
YC,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
ZC,Dummy,Dummy,500,3,1000,200,100,2,4,10000,10000,25,50,50,75,,,
AAA,Dummy,Dummy,-247,2,-1709,825,269,12,3,1101,3510,54,15,58,17,,,
BBB,Dummy,Dummy,-263,2,-2731,545,146,13,1,1811,3592,63,23,55,23,,,
CCC,Dummy,Dummy,-186,2,-3171,786,54,15,4,1915,3829,54,16,72,17,,,
DDD,Dummy,Dummy,-154,2,-2762,509,195,12,5,1499,3908,75,18,53,19,,,
EEE,Dummy,Dummy,-389,2,-2429,938,66,15,1,1344,3897,53,17,65,22,,,
FFF,Dummy,Dummy,-154,2,-2379,558,195,12,2,1836,3822,52,17,71,15,,,
GGG,Dummy,Dummy,-120,2,-1654,856,159,13,1,1168,3256,57,24,60,16,,,
HHH,Dummy,Dummy,-364,2,-1115,746,182,15,3,1491,3867,72,20,74,23,,,
III,Dummy,Dummy,-385,2,-1135,636,170,13,1,1907,3702,54,16,71,25,,,
JJJ,Dummy,Dummy,-124,2,-2263,795,136,12,4,1153,3169,66,18,72,22,,,
KKK,Dummy,Dummy,-122,2,-2739,607,197,14,5,1022,3242,56,16,71,24,,,
LLL,Dummy,Dummy,-163,2,-1597,683,268,12,2,1897,3686,54,17,73,25,,,
MMM,Dummy,Dummy,-165,2,-2204,730,254,10,3,1228,3140,51,22,55,19,,,
NNN,Dummy,Dummy,-379,2,-1374,571,82,13,4,1412,3112,55,15,58,20,,,
OOO,Dummy,Dummy,-297,2,-2252,594,288,15,5,1569,3586,67,17,54,21,,,
PPP,Dummy,Dummy,-276,2,-3804,913,300,14,3,1735,3374,68,16,51,16,,,
QQQ,Dummy,Dummy,-155,2,-1723,780,52,14,1,1096,3619,53,18,64,22,,,
RRR,Dummy,Dummy,-157,2,-1967,919,261,10,2,1007,3409,69,24,70,17,,,
SSS,Dummy,Dummy,-236,2,-2580,951,272,12,5,1300,3232,70,15,51,17,,,
TTT,Dummy,Dummy,-101,2,-3188,649,136,10,2,1261,3190,63,24,69,19,,,
UUU,Dummy,Dummy,-260,2,-3711,990,240,14,2,1490,3825,66,24,69,21,,,
VVV,Dummy,Dummy,-214,2,-1821,917,214,12,1,1295,3045,61,16,75,18,,,
WWW,Dummy,Dummy,-316,2,-2430,824,94,10,2,1612,3414,74,21,52,20,,,
XXX,Dummy,Dummy,-349,2,-2280,842,110,14,1,1496,3439,50,22,62,20,,,
YYY,Dummy,Dummy,-144,2,-1021,674,173,14,1,1147,3032,59,22,65,23,,,
ZZZ,Dummy,Dummy,-266,2,-1765,742,171,11,1,1621,3629,74,20,70,24,,,
AAB,Dummy,Dummy,-338,2,-1884,969,260,15,2,1506,3978,54,19,51,23,,,
BBA,Dummy,Dummy,-287,2,-3358,555,246,11,3,1789,3000,73,25,74,16,,,
CCA,Dummy,Dummy,-169,2,-2109,531,232,10,2,1368,3902,67,16,71,23,,,
DDA,Dummy,Dummy,-156,2,-2599,984,195,13,3,1869,3336,54,23,58,17,,,
EEA,Dummy,Dummy,-273,2,-2849,695,286,12,3,1664,3263,63,19,58,18,,,
FFA,Dummy,Dummy,-114,2,-2075,739,274,12,5,1563,3202,51,19,71,23,,,
GGA,Dummy,Dummy,-277,2,-2088,754,204,13,3,1979,3419,54,25,52,25,,,
HHA,Dummy,Dummy,-149,2,-3743,827,211,11,1,1986,3738,67,15,71,24,,,
IIA,Dummy,Dummy,-133,2,-2554,564,276,14,1,1582,3373,53,15,72,17,,,
JJA,Dummy,Dummy,-214,2,-1378,872,233,13,4,1633,3669,71,15,63,15,,,
KKA,Dummy,Dummy,-155,2,-3836,713,275,14,2,1790,3060,66,16,75,20,,,
LLA,Dummy,Dummy,-161,2,-2353,783,210,12,2,1147,3048,60,17,51,23,,,
MMA,Dummy,Dummy,-237,2,-3272,999,202,10,1,1034,3615,70,22,60,18,,,
NNA,Dummy,Dummy,-204,2,-2946,809,242,12,3,1188,3590,68,20,64,15,,,
OOA,Dummy,Dummy,-344,2,-3164,923,158,12,2,1228,3187,71,19,58,25,,,
PPA,Dummy,Dummy,-283,2,-3256,860,108,14,1,1968,3766,60,17,74,16,,,
QQA,Dummy,Dummy,-367,2,-1757,757,195,12,1,1895,3772,59,18,61,15,,,
RRA,Dummy,Dummy,-113,2,-1741,879,255,13,1,1050,3492,60,19,71,21,,,
SSA,Dummy,Dummy,-392,2,-2871,502,136,11,5,1702,3162,56,23,73,24,,,
TTA,Dummy,Dummy,-240,2,-3239,591,109,10,3,1914,3752,56,20,65,25,,,
UUA,Dummy,Dummy,-340,2,-2690,833,263,13,5,1130,3534,56,21,56,17,,,
VVA,Dummy,Dummy,-151,2,-2147,860,73,15,4,1218,3630,55,17,67,17,,,
WWA,Dummy,Dummy,-398,2,-1257,719,269,11,2,1049,3937,59,19,61,23,,,
XXA,Dummy,Dummy,-362,2,-3128,985,130,11,1,1762,3160,54,22,51,24,,,
YYA,Dummy,Dummy,-109,2,-1250,676,235,14,3,1382,3577,69,16,63,24,,,
ZZA,Dummy,Dummy,-222,2,-3074,573,143,10,2,1028,3968,60,25,75,25,,,
AAC,Dummy,Dummy,-369,2,-2020,647,99,13,4,1260,3738,55,25,71,23,,,
BBC,Dummy,Dummy,-269,2,-1649,542,207,14,4,1765,3935,59,22,56,15,,,
CCA,Dummy,Dummy,-232,2,-3547,536,235,10,4,1430,3498,68,19,54,22,,,
DDC,Dummy,Dummy,-144,2,-1588,594,152,13,1,1873,3739,69,24,55,18,,,
EEC,Dummy,Dummy,-108,2,-1086,794,298,11,1,1049,3312,74,19,59,24,,,
FFC,Dummy,Dummy,-342,2,-1735,950,125,14,3,1019,3776,58,21,68,21,,,
GGC,Dummy,Dummy,-298,2,-1283,585,271,15,4,1350,3732,51,22,63,15,,,
HHC,Dummy,Dummy,-166,2,-2162,645,142,10,3,1720,3171,52,24,71,25,,,
IIC,Dummy,Dummy,-174,2,-2035,729,188,15,2,1729,3068,68,17,62,24,,,
JJC,Dummy,Dummy,-338,2,-2461,891,274,10,2,1726,3830,66,25,61,17,,,
KKC,Dummy,Dummy,-242,2,-2857,848,122,15,2,1420,3142,53,15,50,16,,,
LLC,Dummy,Dummy,-322,2,-2816,576,188,15,5,1537,3434,60,17,54,15,,,
MMC,Dummy,Dummy,-335,2,-2853,822,53,12,2,1200,3882,55,24,74,21,,,
NNC,Dummy,Dummy,-192,2,-2294,854,218,15,4,1232,3186,54,18,51,15,,,
OOC,Dummy,Dummy,-153,2,-2425,690,117,15,3,1034,3334,55,15,51,18,,,
PPC,Dummy,Dummy,-303,2,-3795,697,267,11,2,1816,3443,60,18,67,19,,,
QQC,Dummy,Dummy,-307,2,-2082,545,98,15,5,1696,3370,51,21,71,22,,,
RRC,Dummy,Dummy,-298,2,-3113,995,105,13,1,1674,3783,51,16,73,19,,,
SSC,Dummy,Dummy,-100,2,-1381,867,149,13,1,1974,3127,62,16,58,23,,,
TTC,Dummy,Dummy,-131,2,-3521,909,196,15,5,1765,3604,66,17,59,23,,,
UUC,Dummy,Dummy,-347,2,-3720,859,294,11,1,1432,3942,72,18,59,23,,,
VVC,Dummy,Dummy,-251,2,-1956,575,194,12,1,1305,3626,59,21,60,22,,,
WWC,Dummy,Dummy,-340,2,-3643,892,118,10,2,1548,3403,62,18,71,19,,,
XXC,Dummy,Dummy,-340,2,-2077,980,239,12,2,1453,3762,63,16,66,17,,,
YYC,Dummy,Dummy,-115,2,-2592,641,187,10,2,1085,3745,50,19,57,19,,,
ZZC,Dummy,Dummy,-220,2,-3755,959,249,15,5,1542,3016,50,19,51,16,,,
RMV,Dummy,Dummy,-372,2,-3069,832,127,12,5,1484,3733,52,15,51,16,,,
UMV,Dummy,Dummy,-301,2,-3319,527,242,12,5,1223,3868,67,25,65,19,,,
FFV,Dummy,Dummy,-159,2,-1639,775,193,13,3,1025,3825,51,20,66,20,,,
YYV,Dummy,Dummy,-289,2,-2201,601,53,14,5,1670,3207,74,17,54,16,,,
GGV,Dummy,Dummy,-174,2,-3378,585,291,13,5,1257,3923,51,15,59,22,,,
HHV,Dummy,Dummy,-137,2,-3921,921,286,10,5,1546,3899,66,16,60,15,,,
IIY,Dummy,Dummy,-205,2,-1878,519,173,12,1,1615,3747,54,18,54,25,,,
OOP,Dummy,Dummy,-349,2,-3862,623,143,12,1,1039,3858,56,21,65,25,,,
PPI,Dummy,Dummy,-202,2,-3317,729,154,12,3,1367,3239,61,22,66,23,,,
ZZR,Dummy,Dummy,-108,2,-1287,598,191,10,1,1556,3691,68,16,66,19,,,
UUT,Dummy,Dummy,-135,2,-1261,744,153,10,1,1336,3978,60,16,59,18,,,
